Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
77,No,Cordial,Jungle Bird,Campari,Pineapple Juice,Juice,1.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/1082/jungle-bird
78,No,Cordial,Jungle Bird,Campari,Lime Juice,Fruit,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/1082/jungle-bird
79,No,Cordial,Killer Cocktail,Campari,Campari,Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4120/killer-cocktail
80,No,Cordial,Killer Cocktail,Campari,Almond Liqueur,Cordial,1.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4120/killer-cocktail
81,No,Cordial,Killer Cocktail,Campari,Rutte Dry Gin,Spirit,1,Ounce,https://www.diffordsguide.com/cocktails/recipe/4120/killer-cocktail
82,No,Cordial,Killer Cocktail,Campari,Passion Fruit Syrup,Syrup,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4120/killer-cocktail
83,No,Cordial,Killer Cocktail,Campari,Lemon Juice,Fruit,1,Ounce,https://www.diffordsguide.com/cocktails/recipe/4120/killer-cocktail
84,No,Cordial,Kingston Negroni,Campari,Campari,Cordial,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g32500345/campari-cocktails/
85,No,Cordial,Kingston Negroni,Campari,Jamaican Rum,Spirit,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g32500345/campari-cocktails/
109,No,Cordial,Sorrentino,Campari,Sweet Vermouth,Vermouth,1,Ounce,https://www.diffordsguide.com/cocktails/recipe/4611/sorrentino-cocktail
87,Yes,Cordial,Mi To,Campari,Campari,Cordial,1.5,Ounce,https://www.campari.com/our-cocktails
407,No,Rum,Noble Diplomat,Diplomatico,Sweet Vermouth,Vermouth,20,Milliliters,https://rondiplomatico.com/cocktails/noble-diplomat/
89,Yes,Cordial,Negroni Campari,Campari,Campari,Cordial,1,Ounce,https://www.campari.com/our-cocktails
90,Yes,Cordial,Negroni Campari,Campari,Gin,Spirit,1,Ounce,https://www.campari.com/our-cocktails
662,No,Vodka,Frangelico Martini,Vodka,Sweet Vermouth,Vermouth,0.5,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
92,No,Cordial,Negroni Sbagliato,Campari,Campari,Cordial,1,Ounce,https://www.campari.com/our-cocktails
729,No,Whisky,Massey Cocktail,Jameson,Sweet Vermouth,Vermouth,0.75,Ounce,https://www.thespruceeats.com/massey-cocktail-recipe-4156985
94,No,Cordial,Negroni Sbagliato,Campari,Sparkling Wine,Wine,0,Fill,https://www.campari.com/our-cocktails
95,No,Cordial,Old Acquaintance,Campari,Campari,Cordial,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4315/old-acquaintance
96,No,Cordial,Old Acquaintance,Campari,Rutte Dry Gin,Spirit,1.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4315/old-acquaintance
97,No,Cordial,Old Acquaintance,Campari,Simple Syrup,Syrup,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4315/old-acquaintance
98,No,Cordial,Old Acquaintance,Campari,Grapefruit Juice,Fruit,0.75,Ounce,https://www.diffordsguide.com/cocktails/recipe/4315/old-acquaintance
99,No,Cordial,Old Acquaintance,Campari,Lime Juice,Fruit,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4315/old-acquaintance
100,No,Cordial,Old Friend,Campari,Campari,Cordial,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4258/old-friend
101,No,Cordial,Old Friend,Campari,Rutte Dry Gin,Spirit,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4258/old-friend
