Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
225,Yes,Cordial,Kahlua Sour,Kahlua,Egg Whites,Topping,1,Egg,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
226,Yes,Cordial,Kahlua Sour,Kahlua,Simple Syrup,Syrup,0.5,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
227,Yes,Cordial,Kahlua Sour,Kahlua,Lemon Juice,Fruit,1,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
228,No,Cordial,Orange Coffee Coke,Kahlua,Kahlua,Cordial,1,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
229,No,Cordial,Orange Coffee Coke,Kahlua,Grand Marnier,Cordial,1,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
230,No,Cordial,Orange Coffee Coke,Kahlua,Coke,Soda,6,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
231,No,Cordial,Apple Strudel,Rumple Minze,Rumple Minze,Cordial,1.5,Ounce,https://www.barnonedrinks.com/drinks/a/apple-strudel-271.html
133,Yes,Cordial,Mexican Grasshopper,Crème de Menthe,Crème de Menthe (Green),Cordial,2,Ounce,http://www.drinksmixer.com/cat/2406/
233,No,Cordial,Bailey's Mint Kiss,Rumple Minze,Rumple Minze,Cordial,0.5,Ounce,https://www.barnonedrinks.com/drinks/b/baileys-mint-kiss-6418.html
234,No,Cordial,Bailey's Mint Kiss,Rumple Minze,Baileys Liqueur,Cordial,1,Ounce,https://www.barnonedrinks.com/drinks/b/baileys-mint-kiss-6418.html
